Team,Season,Date,Year,ID Partido,Local,Opponent,Team Points,Opponent Points,Result,Name,Reason
Philadelphia 76ers,2018,Oct 18,2017,/boxscores/201710180WAS.html,False,Washington Wizards,115,120,L,"Stauskas,Nik",Did Not Play
Philadelphia 76ers,2018,Oct 18,2017,/boxscores/201710180WAS.html,False,Washington Wizards,115,120,L,"Okafor,Jahlil",Did Not Play
Philadelphia 76ers,2018,Oct 18,2017,/boxscores/201710180WAS.html,False,Washington Wizards,115,120,L,"Anderson,Justin",Did Not Play
Philadelphia 76ers,2018,Oct 20,2017,/boxscores/201710200PHI.html,False,Boston Celtics,92,102,W,"Stauskas,Nik",Did Not Play
Philadelphia 76ers,2018,Oct 20,2017,/boxscores/201710200PHI.html,False,Boston Celtics,92,102,W,"Okafor,Jahlil",Did Not Play
Philadelphia 76ers,2018,Oct 21,2017,/boxscores/201710210TOR.html,False,Toronto Raptors,94,128,W,"McAdoo,James Michael",Did Not Play
Philadelphia 76ers,2018,Oct 23,2017,/boxscores/201710230DET.html,False,Detroit Pistons,97,86,W,"Stauskas,Nik",Did Not Play
Philadelphia 76ers,2018,Oct 23,2017,/boxscores/201710230DET.html,False,Detroit Pistons,97,86,W,"Okafor,Jahlil",Did Not Play
Philadelphia 76ers,2018,Oct 23,2017,/boxscores/201710230DET.html,False,Detroit Pistons,97,86,W,"Anderson,Justin",Did Not Play
Philadelphia 76ers,2018,Oct 25,2017,/boxscores/201710250PHI.html,False,Houston Rockets,104,105,L,"Stauskas,Nik",Did Not Play
Philadelphia 76ers,2018,Oct 25,2017,/boxscores/201710250PHI.html,False,Houston Rockets,104,105,L,"Okafor,Jahlil",Did Not Play
Philadelphia 76ers,2018,Oct 25,2017,/boxscores/201710250PHI.html,False,Houston Rockets,104,105,L,"Luwawu-Cabarrot,Timothé",Did Not Play
Philadelphia 76ers,2018,Oct 25,2017,/boxscores/201710250PHI.html,False,Houston Rockets,104,105,L,"Korkmaz,Furkan",Did Not Play
Philadelphia 76ers,2018,Oct 28,2017,/boxscores/201710280DAL.html,False,Dallas Mavericks,112,110,W,"Redick,J.J.",Did Not Dress
Philadelphia 76ers,2018,Oct 28,2017,/boxscores/201710280DAL.html,False,Dallas Mavericks,112,110,W,"McAdoo,James Michael",Did Not Play
Philadelphia 76ers,2018,Oct 28,2017,/boxscores/201710280DAL.html,False,Dallas Mavericks,112,110,W,"Korkmaz,Furkan",Did Not Play
Philadelphia 76ers,2018,Oct 30,2017,/boxscores/201710300HOU.html,False,Houston Rockets,115,107,W,"Stauskas,Nik",Did Not Play
Philadelphia 76ers,2018,Oct 30,2017,/boxscores/201710300HOU.html,False,Houston Rockets,115,107,W,"Okafor,Jahlil",Did Not Play
Philadelphia 76ers,2018,Oct 30,2017,/boxscores/201710300HOU.html,False,Houston Rockets,115,107,W,"Korkmaz,Furkan",Did Not Play
Philadelphia 76ers,2018,Nov 1,2017,/boxscores/201711010PHI.html,False,Atlanta Hawks,119,109,W,"Stauskas,Nik",Did Not Play
Philadelphia 76ers,2018,Nov 1,2017,/boxscores/201711010PHI.html,False,Atlanta Hawks,119,109,W,"Okafor,Jahlil",Did Not Play
Philadelphia 76ers,2018,Nov 1,2017,/boxscores/201711010PHI.html,False,Atlanta Hawks,119,109,W,"Korkmaz,Furkan",Did Not Play
Philadelphia 76ers,2018,Nov 1,2017,/boxscores/201711010PHI.html,False,Atlanta Hawks,119,109,W,"Anderson,Justin",Did Not Play
Philadelphia 76ers,2018,Nov 3,2017,/boxscores/201711030PHI.html,False,Indiana Pacers,121,110,W,"Stauskas,Nik",Did Not Play
Philadelphia 76ers,2018,Nov 3,2017,/boxscores/201711030PHI.html,False,Indiana Pacers,121,110,W,"Okafor,Jahlil",Did Not Play
Philadelphia 76ers,2018,Nov 3,2017,/boxscores/201711030PHI.html,False,Indiana Pacers,121,110,W,"Anderson,Justin",Did Not Play
Philadelphia 76ers,2018,Nov 7,2017,/boxscores/201711070UTA.html,False,Utah Jazz,104,97,L,"Bayless,Jerryd",Did Not Dress
Philadelphia 76ers,2018,Nov 9,2017,/boxscores/201711090SAC.html,False,Sacramento Kings,108,109,L,"Stauskas,Nik",Did Not Play
Philadelphia 76ers,2018,Nov 9,2017,/boxscores/201711090SAC.html,False,Sacramento Kings,108,109,L,"Okafor,Jahlil",Did Not Play
Philadelphia 76ers,2018,Nov 9,2017,/boxscores/201711090SAC.html,False,Sacramento Kings,108,109,L,"Korkmaz,Furkan",Did Not Play
Philadelphia 76ers,2018,Nov 11,2017,/boxscores/201711110GSW.html,False,Golden State Warriors,114,135,L,"Okafor,Jahlil",Did Not Play
Philadelphia 76ers,2018,Nov 11,2017,/boxscores/201711110GSW.html,False,Golden State Warriors,114,135,L,"Johnson,Amir",Did Not Play
Philadelphia 76ers,2018,Nov 13,2017,/boxscores/201711130LAC.html,False,Los Angeles Clippers,109,105,W,"McAdoo,James Michael",Did Not Play
Philadelphia 76ers,2018,Nov 13,2017,/boxscores/201711130LAC.html,False,Los Angeles Clippers,109,105,W,"Korkmaz,Furkan",Did Not Play
Philadelphia 76ers,2018,Nov 13,2017,/boxscores/201711130LAC.html,False,Los Angeles Clippers,109,105,W,"Holmes,Richaun",Did Not Play
Philadelphia 76ers,2018,Nov 13,2017,/boxscores/201711130LAC.html,False,Los Angeles Clippers,109,105,W,"Bayless,Jerryd",Did Not Dress
Philadelphia 76ers,2018,Nov 15,2017,/boxscores/201711150LAL.html,False,Los Angeles Lakers,115,109,W,"Okafor,Jahlil",Did Not Play
Philadelphia 76ers,2018,Nov 15,2017,/boxscores/201711150LAL.html,False,Los Angeles Lakers,115,109,W,"Korkmaz,Furkan",Did Not Play
Philadelphia 76ers,2018,Nov 18,2017,/boxscores/201711180PHI.html,False,Golden State Warriors,116,124,L,"Korkmaz,Furkan",Did Not Play
Philadelphia 76ers,2018,Nov 18,2017,/boxscores/201711180PHI.html,False,Golden State Warriors,116,124,L,"Johnson,Amir",Did Not Play
Philadelphia 76ers,2018,Nov 18,2017,/boxscores/201711180PHI.html,False,Golden State Warriors,116,124,L,"Bayless,Jerryd",Did Not Dress
Philadelphia 76ers,2018,Nov 18,2017,/boxscores/201711180PHI.html,False,Golden State Warriors,116,124,L,"Anderson,Justin",Did Not Dress
