nombre,primero,puntos,puntos_maximos,share,award,año,Clave Join
"James,LeBron",116.0,1205.0,1230,0.980,Most Valuable Player,2010,LeBronJames
"Durant,Kevin",4.0,609.0,1230,0.495,Most Valuable Player,2010,KevinDurant
"Bryant,Kobe",0.0,599.0,1230,0.487,Most Valuable Player,2010,KobeBryant
"Howard,Dwight",3.0,478.0,1230,0.389,Most Valuable Player,2010,DwightHoward
"Wade,Dwyane",0.0,119.0,1230,0.097,Most Valuable Player,2010,DwyaneWade
"Anthony,Carmelo",0.0,65.0,1230,0.053,Most Valuable Player,2010,CarmeloAnthony
"Nowitzki,Dirk",0.0,55.0,1230,0.045,Most Valuable Player,2010,DirkNowitzki
"Nash,Steve",0.0,49.0,1230,0.040,Most Valuable Player,2010,SteveNash
"Williams,Deron",0.0,7.0,1230,0.006,Most Valuable Player,2010,DeronWilliams
"Stoudemire,Amar'e",0.0,5.0,1230,0.004,Most Valuable Player,2010,AmareStoudemire
"Ginóbili,Manu",0.0,3.0,1230,0.002,Most Valuable Player,2010,ManuGinobili
"Billups,Chauncey",0.0,1.0,1230,0.001,Most Valuable Player,2010,ChaunceyBillups
"Bosh,Chris",0.0,1.0,1230,0.001,Most Valuable Player,2010,ChrisBosh
"Jackson,Stephen",0.0,1.0,1230,0.001,Most Valuable Player,2010,StephenJackson
"Johnson,Joe",0.0,1.0,1230,0.001,Most Valuable Player,2010,JoeJohnson
"Evans,Tyreke",67.0,491.0,615,0.798,Rookie of the Year,2010,TyrekeEvans
"Curry,Stephen",43.0,391.0,615,0.636,Rookie of the Year,2010,StephenCurry
"Jennings,Brandon",12.0,204.0,615,0.332,Rookie of the Year,2010,BrandonJennings
"Collison,Darren",1.0,17.0,615,0.028,Rookie of the Year,2010,DarrenCollison
"Flynn,Jonny",0.0,2.0,615,0.003,Rookie of the Year,2010,JonnyFlynn
"Gibson,Taj",0.0,2.0,615,0.003,Rookie of the Year,2010,TajGibson
"Howard,Dwight",110.0,576.0,610,0.944,Defensive Player of the Year,2010,DwightHoward
"Smith,Josh",3.0,136.0,610,0.223,Defensive Player of the Year,2010,JoshSmith
"Wallace,Gerald",1.0,113.0,610,0.185,Defensive Player of the Year,2010,GeraldWallace
"James,LeBron",4.0,61.0,610,0.100,Defensive Player of the Year,2010,LeBronJames
"Rondo,Rajon",1.0,55.0,610,0.090,Defensive Player of the Year,2010,RajonRondo
"World Peace,Metta",0.0,29.0,610,0.048,Defensive Player of the Year,2010,MettaWorldPeace
"Bogut,Andrew",1.0,23.0,610,0.038,Defensive Player of the Year,2010,AndrewBogut
"Sefolosha,Thabo",2.0,20.0,610,0.033,Defensive Player of the Year,2010,ThaboSefolosha
"Varejão,Anderson",0.0,18.0,610,0.030,Defensive Player of the Year,2010,AndersonVarejao
"Camby,Marcus",0.0,13.0,610,0.021,Defensive Player of the Year,2010,MarcusCamby
"Wade,Dwyane",0.0,13.0,610,0.021,Defensive Player of the Year,2010,DwyaneWade
"Bryant,Kobe",0.0,9.0,610,0.015,Defensive Player of the Year,2010,KobeBryant
"Marion,Shawn",0.0,8.0,610,0.013,Defensive Player of the Year,2010,ShawnMarion
"Duncan,Tim",0.0,7.0,610,0.011,Defensive Player of the Year,2010,TimDuncan
"Battier,Shane",0.0,5.0,610,0.008,Defensive Player of the Year,2010,ShaneBattier
"Kirilenko,Andrei",0.0,4.0,610,0.007,Defensive Player of the Year,2010,AndreiKirilenko
"Afflalo,Arron",0.0,1.0,610,0.002,Defensive Player of the Year,2010,ArronAfflalo
"Barnes,Matt",0.0,1.0,610,0.002,Defensive Player of the Year,2010,MattBarnes
"Haywood,Brendan",0.0,1.0,610,0.002,Defensive Player of the Year,2010,BrendanHaywood
"Lee,David",0.0,1.0,610,0.002,Defensive Player of the Year,2010,DavidLee
"Martin,Kenyon",0.0,1.0,610,0.002,Defensive Player of the Year,2010,KenyonMartin
"Mbah a Moute,Luc",0.0,1.0,610,0.002,Defensive Player of the Year,2010,LucMbahaMoute
"Perkins,Kendrick",0.0,1.0,610,0.002,Defensive Player of the Year,2010,KendrickPerkins
"Wallace,Ben",0.0,1.0,610,0.002,Defensive Player of the Year,2010,BenWallace
"Crawford,Jamal",110.0,580.0,610,0.951,Sixth Man of the Year,2010,JamalCrawford
"Terry,Jason",6.0,220.0,610,0.361,Sixth Man of the Year,2010,JasonTerry
"Varejão,Anderson",2.0,126.0,610,0.207,Sixth Man of the Year,2010,AndersonVarejao
"Ginóbili,Manu",2.0,75.0,610,0.123,Sixth Man of the Year,2010,ManuGinobili
"Smith,J.R.",0.0,33.0,610,0.054,Sixth Man of the Year,2010,JRSmith
"Odom,Lamar",1.0,25.0,610,0.041,Sixth Man of the Year,2010,LamarOdom
"Millsap,Paul",1.0,15.0,610,0.025,Sixth Man of the Year,2010,PaulMillsap
"Landry,Carl",0.0,12.0,610,0.020,Sixth Man of the Year,2010,CarlLandry
"Haslem,Udonis",0.0,5.0,610,0.008,Sixth Man of the Year,2010,UdonisHaslem
"Thornton,Marcus",0.0,3.0,610,0.005,Sixth Man of the Year,2010,MarcusThornton
"Dudley,Jared",0.0,1.0,610,0.002,Sixth Man of the Year,2010,JaredDudley
"Harrington,Al",0.0,1.0,610,0.002,Sixth Man of the Year,2010,AlHarrington
"Love,Kevin",0.0,1.0,610,0.002,Sixth Man of the Year,2010,KevinLove
"Lowry,Kyle",0.0,1.0,610,0.002,Sixth Man of the Year,2010,KyleLowry
"Brooks,Aaron",62.0,403.0,615,0.655,Most Improved Player,2010,AaronBrooks
"Durant,Kevin",17.0,101.0,615,0.164,Most Improved Player,2010,KevinDurant
"Gasol,Marc",9.0,101.0,615,0.164,Most Improved Player,2010,MarcGasol
"Hill,George",7.0,101.0,615,0.164,Most Improved Player,2010,GeorgeHill
"Bogut,Andrew",7.0,93.0,615,0.151,Most Improved Player,2010,AndrewBogut
"Westbrook,Russell",5.0,67.0,615,0.109,Most Improved Player,2010,RussellWestbrook
"Noah,Joakim",7.0,64.0,615,0.104,Most Improved Player,2010,JoakimNoah
"Wallace,Gerald",3.0,29.0,615,0.047,Most Improved Player,2010,GeraldWallace
"Lopez,Brook",1.0,19.0,615,0.031,Most Improved Player,2010,BrookLopez
"Brewer,Corey",0.0,19.0,615,0.031,Most Improved Player,2010,CoreyBrewer
"Landry,Carl",0.0,18.0,615,0.029,Most Improved Player,2010,CarlLandry
"Rondo,Rajon",2.0,12.0,615,0.020,Most Improved Player,2010,RajonRondo
"Blatche,Andray",1.0,12.0,615,0.020,Most Improved Player,2010,AndrayBlatche
"Frye,Channing",1.0,10.0,615,0.016,Most Improved Player,2010,ChanningFrye
"Gallinari,Danilo",0.0,10.0,615,0.016,Most Improved Player,2010,DaniloGallinari
"Smith,Josh",0.0,8.0,615,0.013,Most Improved Player,2010,JoshSmith
"Lee,David",0.0,7.0,615,0.011,Most Improved Player,2010,DavidLee
"Howard,Dwight",1.0,5.0,615,0.008,Most Improved Player,2010,DwightHoward
"İlyasova,Ersan",0.0,4.0,615,0.007,Most Improved Player,2010,ErsanIlyasova
"Kaman,Chris",0.0,4.0,615,0.007,Most Improved Player,2010,ChrisKaman
"Redick,J.J.",0.0,4.0,615,0.007,Most Improved Player,2010,JJRedick
"Douglas-Roberts,Chris",0.0,3.0,615,0.005,Most Improved Player,2010,ChrisDouglasRoberts
"Hilário,Nenê",0.0,3.0,615,0.005,Most Improved Player,2010,NeneHilario
"Millsap,Paul",0.0,3.0,615,0.005,Most Improved Player,2010,PaulMillsap
"Lopez,Robin",0.0,2.0,615,0.003,Most Improved Player,2010,RobinLopez
"Ellis,Monta",0.0,1.0,615,0.002,Most Improved Player,2010,MontaEllis
"Hickson,J.J.",0.0,1.0,615,0.002,Most Improved Player,2010,JJHickson
"Randolph,Zach",0.0,1.0,615,0.002,Most Improved Player,2010,ZachRandolph
"Salmons,John",0.0,1.0,615,0.002,Most Improved Player,2010,JohnSalmons
"Wallace,Ben",0.0,1.0,615,0.002,Most Improved Player,2010,BenWallace
"Rose,Derrick",113.0,1182.0,1210,0.977,Most Valuable Player,2011,DerrickRose
"Howard,Dwight",3.0,643.0,1210,0.531,Most Valuable Player,2011,DwightHoward
"James,LeBron",4.0,522.0,1210,0.431,Most Valuable Player,2011,LeBronJames
"Bryant,Kobe",1.0,428.0,1210,0.354,Most Valuable Player,2011,KobeBryant
"Durant,Kevin",0.0,190.0,1210,0.157,Most Valuable Player,2011,KevinDurant
"Nowitzki,Dirk",0.0,113.0,1210,0.093,Most Valuable Player,2011,DirkNowitzki
"Wade,Dwyane",0.0,24.0,1210,0.020,Most Valuable Player,2011,DwyaneWade
"Gin�bili,Manu",0.0,20.0,1210,0.017,Most Valuable Player,2011,ManuGinbili
"Stoudemire,Amar'e",0.0,9.0,1210,0.007,Most Valuable Player,2011,AmareStoudemire
"Griffin,Blake",0.0,5.0,1210,0.004,Most Valuable Player,2011,BlakeGriffin
"Rondo,Rajon",0.0,5.0,1210,0.004,Most Valuable Player,2011,RajonRondo
"Parker,Tony",0.0,3.0,1210,0.002,Most Valuable Player,2011,TonyParker
"Paul,Chris",0.0,2.0,1210,0.002,Most Valuable Player,2011,ChrisPaul
"Griffin,Blake",118.0,590.0,590,1.000,Rookie of the Year,2011,BlakeGriffin
"Wall,John",0.0,295.0,590,0.500,Rookie of the Year,2011,JohnWall
"Cousins,DeMarcus",0.0,81.0,590,0.137,Rookie of the Year,2011,DeMarcusCousins
"Fields,Landry",0.0,62.0,590,0.105,Rookie of the Year,2011,LandryFields
"Neal,Gary",0.0,19.0,590,0.032,Rookie of the Year,2011,GaryNeal
"Monroe,Greg",0.0,15.0,590,0.025,Rookie of the Year,2011,GregMonroe
"Howard,Dwight",114.0,585.0,600,0.975,Defensive Player of the Year,2011,DwightHoward
"Garnett,Kevin",1.0,77.0,600,0.128,Defensive Player of the Year,2011,KevinGarnett
"Chandler,Tyson",0.0,70.0,600,0.117,Defensive Player of the Year,2011,TysonChandler
"Allen,Tony",0.0,53.0,600,0.088,Defensive Player of the Year,2011,TonyAllen
