Equipo,Temporada,Sueldo
Atlanta Hawks,2015,57182724
Atlanta Hawks,2016,71045472
Atlanta Hawks,2017,85231361
Atlanta Hawks,2018,80973526
Atlanta Hawks,2019,66443526
Atlanta Hawks,2020,80573776
Boston Celtics,2015,41359670
Boston Celtics,2016,60772386
Boston Celtics,2017,92028392
Boston Celtics,2018,100847233
Boston Celtics,2019,125326739
Boston Celtics,2020,119017048
Brooklyn Nets,2015,103134468
Brooklyn Nets,2016,66313581
Brooklyn Nets,2017,72562117
Brooklyn Nets,2018,89016420
Brooklyn Nets,2019,83536752
Brooklyn Nets,2020,129793927
Charlotte Hornets,2015,68876214
Charlotte Hornets,2016,82397300
Charlotte Hornets,2017,114243539
Charlotte Hornets,2018,125805064
Charlotte Hornets,2019,121810182
Charlotte Hornets,2020,97428941
Chicago Bulls,2015,69857980
Chicago Bulls,2016,89638318
Chicago Bulls,2017,88891859
Chicago Bulls,2018,79359717
Chicago Bulls,2019,80706074
Chicago Bulls,2020,133127813
Cleveland Cavaliers,2015,67757418
Cleveland Cavaliers,2016,104254519
Cleveland Cavaliers,2017,133411547
Cleveland Cavaliers,2018,84211458
Cleveland Cavaliers,2019,88610922
Cleveland Cavaliers,2020,110743965
Dallas Mavericks,2015,76045171
Dallas Mavericks,2016,72671101
Dallas Mavericks,2017,90301164
Dallas Mavericks,2018,86566910
Dallas Mavericks,2019,50687348
Dallas Mavericks,2020,134875092
Denver Nuggets,2015,57074915
Denver Nuggets,2016,48161600
Denver Nuggets,2017,76281076
Denver Nuggets,2018,112987874
Denver Nuggets,2019,118048086
Denver Nuggets,2020,126841786
Detroit Pistons,2015,43963633
Detroit Pistons,2016,55343307
Detroit Pistons,2017,105445268
Detroit Pistons,2018,103989792
Detroit Pistons,2019,115162686
Detroit Pistons,2020,135926827
Golden State Warriors,2015,74947574
Golden State Warriors,2016,89816273
Golden State Warriors,2017,103796670
Golden State Warriors,2018,123919549
Golden State Warriors,2019,144354753
Golden State Warriors,2020,106010951
Houston Rockets,2015,65995129
Houston Rockets,2016,75808114
Houston Rockets,2017,83497163
Houston Rockets,2018,119669704
Houston Rockets,2019,129028208
Houston Rockets,2020,131323089
Indiana Pacers,2015,74810552
Indiana Pacers,2016,67699102
Indiana Pacers,2017,90659552
Indiana Pacers,2018,110080138
Indiana Pacers,2019,100197688
Indiana Pacers,2020,137759737
Los Angeles Clippers,2015,84225763
Los Angeles Clippers,2016,87167337
Los Angeles Clippers,2017,114307499
Los Angeles Clippers,2018,161175002
Los Angeles Clippers,2019,79234904
Los Angeles Clippers,2020,147226769
Los Angeles Lakers,2015,71083322
Los Angeles Lakers,2016,73665676
Los Angeles Lakers,2017,104892636
Los Angeles Lakers,2018,121307747
Los Angeles Lakers,2019,92404906
Los Angeles Lakers,2020,117461878
Memphis Grizzlies,2015,86504216
Memphis Grizzlies,2016,94825502
Memphis Grizzlies,2017,113616902
Memphis Grizzlies,2018,110613726
Memphis Grizzlies,2019,165671892
Memphis Grizzlies,2020,123717352
Miami Heat,2015,72166602
Miami Heat,2016,85249626
Miami Heat,2017,98056960
Miami Heat,2018,123120620
Miami Heat,2019,124378576
Miami Heat,2020,138576547
Milwaukee Bucks,2015,53112885
Milwaukee Bucks,2016,72148308
Milwaukee Bucks,2017,91167498
Milwaukee Bucks,2018,91308504
Milwaukee Bucks,2019,143470804
Milwaukee Bucks,2020,140613931
Minnesota Timberwolves,2015,58264693
Minnesota Timberwolves,2016,60656973
Minnesota Timberwolves,2017,86372434
Minnesota Timberwolves,2018,129617691
Minnesota Timberwolves,2019,103380780
Minnesota Timberwolves,2020,174907550
New Orleans Pelicans,2015,67116400
New Orleans Pelicans,2016,87932770
New Orleans Pelicans,2017,76981497
New Orleans Pelicans,2018,106945231
New Orleans Pelicans,2019,93354172
New Orleans Pelicans,2020,123963898
New York Knicks,2015,69286926
New York Knicks,2016,75483698
New York Knicks,2017,99300544
New York Knicks,2018,107798705
New York Knicks,2019,96050606
New York Knicks,2020,117218296
Oklahoma City Thunder,2015,74310386
Oklahoma City Thunder,2016,97060625
Oklahoma City Thunder,2017,108245839
Oklahoma City Thunder,2018,145725064
Oklahoma City Thunder,2019,151109192
Oklahoma City Thunder,2020,143592220
Orlando Magic,2015,43142870
Orlando Magic,2016,84941368
Orlando Magic,2017,96406104
Orlando Magic,2018,98826765
Orlando Magic,2019,104835333
Orlando Magic,2020,142014183
Philadelphia 76ers,2015,58336373
Philadelphia 76ers,2016,44886505
Philadelphia 76ers,2017,79724465
Philadelphia 76ers,2018,95117178
Philadelphia 76ers,2019,153357133
Philadelphia 76ers,2020,134311678
Phoenix Suns,2015,76895748
Phoenix Suns,2016,68618740
Phoenix Suns,2017,74717099
Phoenix Suns,2018,83864720
Phoenix Suns,2019,96526795
Phoenix Suns,2020,126791215
Portland Trail Blazers,2015,79294478
Portland Trail Blazers,2016,57761713
Portland Trail Blazers,2017,114615831
Portland Trail Blazers,2018,127766380
Portland Trail Blazers,2019,130774013
Portland Trail Blazers,2020,121737527
Sacramento Kings,2015,69144839
Sacramento Kings,2016,72528725
Sacramento Kings,2017,108146859
Sacramento Kings,2018,88231506
Sacramento Kings,2019,102369495
Sacramento Kings,2020,143263849
San Antonio Spurs,2015,68582168
San Antonio Spurs,2016,89617091
San Antonio Spurs,2017,119115848
San Antonio Spurs,2018,122781273
San Antonio Spurs,2019,106999851
San Antonio Spurs,2020,117402039
Toronto Raptors,2015,76305291
Toronto Raptors,2016,75339980
Toronto Raptors,2017,126245354
Toronto Raptors,2018,132453584
Toronto Raptors,2019,114861234
Toronto Raptors,2020,127312069
Utah Jazz,2015,58375761
Utah Jazz,2016,60751941
Utah Jazz,2017,83270997
Utah Jazz,2018,115166750
Utah Jazz,2019,124680531
Utah Jazz,2020,129433768
Washington Wizards,2015,84440454
Washington Wizards,2016,81467636
Washington Wizards,2017,116289277
Washington Wizards,2018,130699473
Washington Wizards,2019,160582684
Washington Wizards,2020,148744514
