Nombre,Equipo,Sueldo,Temporada
Kobe Bryant,Los Angeles Lakers,23500000,2015
Joe Johnson,Brooklyn Nets,23180790,2015
Carmelo Anthony,New York Knicks,22458401,2015
Dwight Howard,Houston Rockets,21436271,2015
Chris Bosh,Miami Heat,20644400,2015
LeBron James,Cleveland Cavaliers,20644400,2015
Chris Paul,Los Angeles Clippers,20068563,2015
Deron Williams,Brooklyn Nets,19754465,2015
Rudy Gay,Sacramento Kings,19317326,2015
Kevin Durant,Oklahoma City Thunder,18995624,2015
Derrick Rose,Chicago Bulls,18862876,2015
Blake Griffin,Los Angeles Clippers,17674613,2015
Zach Randolph,Memphis Grizzlies,16500000,2015
LaMarcus Aldridge,Portland Trail Blazers,16006000,2015
Paul George,Indiana Pacers,15937290,2015
Marc Gasol,Memphis Grizzlies,15829688,2015
Kevin Love,Cleveland Cavaliers,15719063,2015
Brook Lopez,Brooklyn Nets,15719062,2015
Russell Westbrook,Oklahoma City Thunder,15719062,2015
David Lee,Golden State Warriors,15012000,2015
Dwyane Wade,Miami Heat,15000000,2015
Eric Gordon,New Orleans Pelicans,14898938,2015
Roy Hibbert,Indiana Pacers,14898938,2015
Tyson Chandler,Dallas Mavericks,14846888,2015
John Wall,Washington Wizards,14746000,2015
DeMarcus Cousins,Sacramento Kings,14746000,2015
Gordon Hayward,Utah Jazz,14746000,2015
James Harden,Houston Rockets,14728844,2015
Chandler Parsons,Dallas Mavericks,14700000,2015
Al Jefferson,Charlotte Hornets,13500000,2015
Eric Bledsoe,Phoenix Suns,13000000,2015
Nene Hilario,Washington Wizards,13000000,2015
Andrew Bogut,Golden State Warriors,12972973,2015
Derrick Favors,Utah Jazz,12950000,2015
Rajon Rondo,Dallas Mavericks,12909090,2015
Joakim Noah,Chicago Bulls,12700000,2015
Tony Parker,San Antonio Spurs,12500000,2015
Serge Ibaka,Oklahoma City Thunder,12350000,2015
Andre Iguodala,Golden State Warriors,12289544,2015
Nikola Pekovic,Minnesota Timberwolves,12100000,2015
Kyle Lowry,Toronto Raptors,12000000,2015
Al Horford,Atlanta Hawks,12000000,2015
Kevin Garnett,Brooklyn Nets,12000000,2015
David West,Indiana Pacers,12000000,2015
Nicolas Batum,Portland Trail Blazers,11765500,2015
Ty Lawson,Denver Nuggets,11595506,2015
Andrea Bargnani,New York Knicks,11500000,2015
DeAndre Jordan,Los Angeles Clippers,11440123,2015
Tyreke Evans,New Orleans Pelicans,11265416,2015
JaVale McGee,Philadelphia 76ers,11250000,2015
Larry Sanders,Milwaukee Bucks,11000000,2015
Danilo Gallinari,Denver Nuggets,10854850,2015
Stephen Curry,Golden State Warriors,10629213,2015
Marcin Gortat,Washington Wizards,10434782,2015
Tim Duncan,San Antonio Spurs,10361446,2015
Gerald Wallace,Boston Celtics,10105855,2015
DeMar DeRozan,Toronto Raptors,10100000,2015
Jrue Holiday,New Orleans Pelicans,9904495,2015
Luol Deng,Miami Heat,9714461,2015
Anderson Varejao,Cleveland Cavaliers,9704545,2015
Steve Nash,Los Angeles Lakers,9701000,2015
Paul Millsap,Atlanta Hawks,9500000,2015
Thaddeus Young,Brooklyn Nets,9410869,2015
Tiago Splitter,San Antonio Spurs,9250000,2015
Jeff Green,Memphis Grizzlies,9200000,2015
Jordan Hill,Los Angeles Lakers,9000000,2015
Lance Stephenson,Charlotte Hornets,9000000,2015
Mike Conley,Memphis Grizzlies,8694216,2015
Trevor Ariza,Houston Rockets,8579089,2015
Channing Frye,Orlando Magic,8579088,2015
Marcus Thornton,Phoenix Suns,8575000,2015
Ryan Anderson,New Orleans Pelicans,8491500,2015
Jeremy Lin,Los Angeles Lakers,8374646,2015
Omer Asik,New Orleans Pelicans,8374646,2015
Monta Ellis,Dallas Mavericks,8360000,2015
Taj Gibson,Chicago Bulls,8000000,2015
Brandon Jennings,Detroit Pistons,8000000,2015
O.J. Mayo,Milwaukee Bucks,8000000,2015
George Hill,Indiana Pacers,8000000,2015
Jeff Teague,Atlanta Hawks,8000000,2015
Dirk Nowitzki,Dallas Mavericks,7974482,2015
Ersan Ilyasova,Milwaukee Bucks,7900000,2015
Tayshaun Prince,Memphis Grizzlies,7707865,2015
Boris Diaw,San Antonio Spurs,7500000,2015
Arron Afflalo,Portland Trail Blazers,7500000,2015
Goran Dragic,Phoenix Suns,7500000,2015
Wesley Matthews,Portland Trail Blazers,7245640,2015
Isaiah Thomas,Phoenix Suns,7238606,2015
Avery Bradley,Boston Celtics,7191011,2015
Pau Gasol,Chicago Bulls,7128000,2015
Jose Calderon,New York Knicks,7097191,2015
Kyrie Irving,Cleveland Cavaliers,7070730,2015
Manu Ginobili,San Antonio Spurs,7000000,2015
Amir Johnson,Toronto Raptors,7000000,2015
Marvin Williams,Charlotte Hornets,7000000,2015
Brandon Bass,Boston Celtics,6900000,2015
Kevin Martin,Minnesota Timberwolves,6792500,2015
JJ Redick,Los Angeles Clippers,6792500,2015
Wilson Chandler,Denver Nuggets,6757913,2015
Jason Richardson,Philadelphia 76ers,6601125,2015
JR Smith,New York Knicks,6515510,2015
Carl Landry,Sacramento Kings,6500000,2015
Greivis Vasquez,Toronto Raptors,6400000,2015
Derrick Williams,Sacramento Kings,6331404,2015
Jarrett Jack,Brooklyn Nets,6300000,2015
Kyle Korver,Atlanta Hawks,6253521,2015
Landry Fields,Toronto Raptors,6250000,2015
Robin Lopez,Portland Trail Blazers,6124729,2015
Jason Thompson,Sacramento Kings,6037500,2015
Jodie Meeks,Detroit Pistons,6000000,2015
Gerald Henderson,Charlotte Hornets,6000000,2015
Chuck Hayes,Toronto Raptors,5958750,2015
Jason Terry,Houston Rockets,5850313,2015
Patrick Patterson,Toronto Raptors,5831326,2015
P.J. Tucker,Phoenix Suns,5700000,2015
Enes Kanter,Utah Jazz,5694674,2015
Anthony Davis,New Orleans Pelicans,5607240,2015
Anthony Bennett,Minnesota Timberwolves,5563920,2015
Andrew Wiggins,Minnesota Timberwolves,5510640,2015
Greg Monroe,Detroit Pistons,5479934,2015
Jamal Crawford,Los Angeles Clippers,5450000,2015
Lou Williams,Toronto Raptors,5450000,2015
Courtney Lee,Memphis Grizzlies,5450000,2015
JJ Hickson,Denver Nuggets,5381750,2015
Martell Webster,Washington Wizards,5381750,2015
Chris Andersen,Miami Heat,5375000,2015
Nikola Mirotic,Chicago Bulls,5305000,2015
Spencer Hawes,Los Angeles Clippers,5305000,2015
Paul Pierce,Washington Wizards,5305000,2015
Shaun Livingston,Golden State Warriors,5305000,2015
Josh McRoberts,Miami Heat,5305000,2015
Keith Bogans,Philadelphia 76ers,5285817,2015
Zaza Pachulia,Milwaukee Bucks,5200000,2015
Tristan Thompson,Cleveland Cavaliers,5138430,2015
Michael Kidd-Gilchrist,Charlotte Hornets,5016960,2015
Chase Budinger,Minnesota Timberwolves,5000000,2015
Trevor Booker,Utah Jazz,5000000,2015
Brandan Wright,Phoenix Suns,5000000,2015
Nick Young,Los Angeles Lakers,4994420,2015
Victor Oladipo,Orlando Magic,4978200,2015
Jabari Parker,Milwaukee Bucks,4930560,2015
Luis Scola,Indiana Pacers,4868499,2015
Tony Allen,Memphis Grizzlies,4831461,2015
Chris Kaman,Portland Trail Blazers,4800000,2015
Darren Collison,Sacramento Kings,4797664,2015
Kostas Papanikolaou,Houston Rockets,4797664,2015
Corey Brewer,Minnesota Timberwolves,4702500,2015
Ricky Rubio,Minnesota Timberwolves,4660479,2015
Andre Miller,Washington Wizards,4650000,2015
Timofey Mozgov,Denver Nuggets,4650000,2015
Bradley Beal,Washington Wizards,4505280,2015
Caron Butler,Detroit Pistons,4500000,2015
Jonas Jerebko,Detroit Pistons,4500000,2015
Ben Gordon,Orlando Magic,4500000,2015
Otto Porter Jr.,Washington Wizards,4470480,2015
Joel Embiid,Philadelphia 76ers,4427640,2015
Luc Mbah a Moute,Philadelphia 76ers,4382576,2015
Kris Humphries,Washington Wizards,4250000,2015
Jared Dudley,Milwaukee Bucks,4250000,2015
C.J. Miles,Indiana Pacers,4205000,2015
Thabo Sefolosha,Atlanta Hawks,4150000,2015
Dion Waiters,Oklahoma City Thunder,4062000,2015
Samuel Dalembert,New York Knicks,4051527,2015
