Equipo A,Equipo B,Distancia
Philadelphia 76ers,Detroit Pistons,627
Philadelphia 76ers,Chicago Bulls,1002
Philadelphia 76ers,Minnesota Timberwolves,1389
Philadelphia 76ers,New York Knicks,407
Philadelphia 76ers,Denver Nuggets,1349
Philadelphia 76ers,Golden State Warriors,2123
Philadelphia 76ers,Dallas Mavericks,314
Philadelphia 76ers,New Jersey Nets,415
Philadelphia 76ers,Charlotte Bobcats,1084
Philadelphia 76ers,Memphis Grizzlies,271
Philadelphia 76ers,San Antonio Spurs,7682
Philadelphia 76ers,New Orleans Hornets,2020
Philadelphia 76ers,Oklahoma City Thunder,2086
Philadelphia 76ers,Orlando Magic,1806
Philadelphia 76ers,Washington Wizards,594
Philadelphia 76ers,Cleveland Cavaliers,1464
Philadelphia 76ers,Boston Celtics,1644
Philadelphia 76ers,Portland Trail Blazers,1210
Philadelphia 76ers,Los Angeles Lakers,4006
Philadelphia 76ers,Sacramento Kings,3002
Philadelphia 76ers,Indiana Pacers,990
Philadelphia 76ers,Phoenix Suns,1010
Philadelphia 76ers,Utah Jazz,2964
Philadelphia 76ers,Houston Rockets,570
Philadelphia 76ers,Toronto Raptors,301
Philadelphia 76ers,Miami Heat,2310
Philadelphia 76ers,Los Angeles Clippers,4006
Philadelphia 76ers,Atlanta Hawks,452
Philadelphia 76ers,Milwaukee Bucks,988
Philadelphia 76ers,Brooklyn Nets,415
Philadelphia 76ers,New Orleans Pelicans,2020
Philadelphia 76ers,Charlotte Hornets,1084
Detroit Pistons,Philadelphia 76ers,627
Detroit Pistons,Chicago Bulls,383
Detroit Pistons,Minnesota Timberwolves,871
Detroit Pistons,New York Knicks,772
Detroit Pistons,Denver Nuggets,1855
Detroit Pistons,Golden State Warriors,3341
Detroit Pistons,Dallas Mavericks,1606
Detroit Pistons,New Jersey Nets,779
Detroit Pistons,Charlotte Bobcats,812
Detroit Pistons,Memphis Grizzlies,1007
Detroit Pistons,San Antonio Spurs,1990
Detroit Pistons,New Orleans Hornets,1511
Detroit Pistons,Oklahoma City Thunder,1462
Detroit Pistons,Orlando Magic,1539
Detroit Pistons,Washington Wizards,634
Detroit Pistons,Cleveland Cavaliers,145
Detroit Pistons,Boston Celtics,983
Detroit Pistons,Portland Trail Blazers,3157
Detroit Pistons,Los Angeles Lakers,3181
Detroit Pistons,Sacramento Kings,3247
Detroit Pistons,Indiana Pacers,386
Detroit Pistons,Phoenix Suns,2712
Detroit Pistons,Utah Jazz,2392
Detroit Pistons,Houston Rockets,1777
Detroit Pistons,Toronto Raptors,332
Detroit Pistons,Miami Heat,1857
Detroit Pistons,Los Angeles Clippers,3181
Detroit Pistons,Atlanta Hawks,960
Detroit Pistons,Milwaukee Bucks,404
Detroit Pistons,Brooklyn Nets,779
Detroit Pistons,New Orleans Pelicans,1511
Detroit Pistons,Charlotte Hornets,812
Chicago Bulls,Philadelphia 76ers,1016
Chicago Bulls,Detroit Pistons,383
Chicago Bulls,Minnesota Timberwolves,571
Chicago Bulls,New York Knicks,1144
Chicago Bulls,Denver Nuggets,1473
Chicago Bulls,Golden State Warriors,2966
Chicago Bulls,Dallas Mavericks,1290
Chicago Bulls,New Jersey Nets,1150
Chicago Bulls,Charlotte Bobcats,943
Chicago Bulls,Memphis Grizzlies,780
Chicago Bulls,San Antonio Spurs,1689
Chicago Bulls,New Orleans Hornets,1339
Chicago Bulls,Oklahoma City Thunder,1110
Chicago Bulls,Orlando Magic,1583
Chicago Bulls,Washington Wizards,955
Chicago Bulls,Cleveland Cavaliers,495
Chicago Bulls,Boston Celtics,1366
Chicago Bulls,Portland Trail Blazers,2819
Chicago Bulls,Los Angeles Lakers,2798
Chicago Bulls,Sacramento Kings,2874
Chicago Bulls,Indiana Pacers,263
Chicago Bulls,Phoenix Suns,2331
Chicago Bulls,Utah Jazz,2019
Chicago Bulls,Houston Rockets,1510
Chicago Bulls,Toronto Raptors,702
Chicago Bulls,Miami Heat,1911
Chicago Bulls,Los Angeles Clippers,2798
Chicago Bulls,Atlanta Hawks,944
Chicago Bulls,Milwaukee Bucks,134
Chicago Bulls,Brooklyn Nets,1150
Chicago Bulls,New Orleans Pelicans,1339
Chicago Bulls,Charlotte Hornets,943
Minnesota Timberwolves,Philadelphia 76ers,1389
Minnesota Timberwolves,Detroit Pistons,871
Minnesota Timberwolves,Chicago Bulls,571
Minnesota Timberwolves,New York Knicks,1633
Minnesota Timberwolves,Denver Nuggets,1122
Minnesota Timberwolves,Golden State Warriors,2529
Minnesota Timberwolves,Dallas Mavericks,1388
Minnesota Timberwolves,New Jersey Nets,1641
Minnesota Timberwolves,Charlotte Bobcats,1509
Minnesota Timberwolves,Memphis Grizzlies,1132
Minnesota Timberwolves,San Antonio Spurs,1787
Minnesota Timberwolves,New Orleans Hornets,1692
Minnesota Timberwolves,Oklahoma City Thunder,1116
Minnesota Timberwolves,Orlando Magic,2105
Minnesota Timberwolves,Washington Wizards,1497
Minnesota Timberwolves,Cleveland Cavaliers,1011
Minnesota Timberwolves,Boston Celtics,1801
Minnesota Timberwolves,Portland Trail Blazers,2287
Minnesota Timberwolves,Los Angeles Lakers,2445
Minnesota Timberwolves,Sacramento Kings,2429
Minnesota Timberwolves,Indiana Pacers,821
Minnesota Timberwolves,Phoenix Suns,2055
Minnesota Timberwolves,Utah Jazz,1583
Minnesota Timberwolves,Houston Rockets,1700
Minnesota Timberwolves,Toronto Raptors,1108
Minnesota Timberwolves,Miami Heat,2432
Minnesota Timberwolves,Los Angeles Clippers,2445
Minnesota Timberwolves,Atlanta Hawks,1459
Minnesota Timberwolves,Milwaukee Bucks,479
Minnesota Timberwolves,Brooklyn Nets,1641
Minnesota Timberwolves,New Orleans Pelicans,1692
Minnesota Timberwolves,Charlotte Hornets,1509
New York Knicks,Philadelphia 76ers,407
New York Knicks,Detroit Pistons,772
New York Knicks,Chicago Bulls,1144
New York Knicks,Minnesota Timberwolves,1633
New York Knicks,Denver Nuggets,2615
New York Knicks,Golden State Warriors,4110
New York Knicks,Dallas Mavericks,2203
New York Knicks,New Jersey Nets,9
New York Knicks,Charlotte Bobcats,854
New York Knicks,Memphis Grizzlies,1536
New York Knicks,San Antonio Spurs,2542
New York Knicks,New Orleans Hornets,1878
New York Knicks,Oklahoma City Thunder,2128
New York Knicks,Orlando Magic,1509
New York Knicks,Washington Wizards,328
New York Knicks,Cleveland Cavaliers,649
New York Knicks,Boston Celtics,305
New York Knicks,Portland Trail Blazers,3920
New York Knicks,Los Angeles Lakers,3930
New York Knicks,Sacramento Kings,4018
New York Knicks,Indiana Pacers,1035
New York Knicks,Phoenix Suns,3439
New York Knicks,Utah Jazz,3162
New York Knicks,Houston Rockets,2278
New York Knicks,Toronto Raptors,555
New York Knicks,Miami Heat,1754
New York Knicks,Los Angeles Clippers,3930
New York Knicks,Atlanta Hawks,1199
New York Knicks,Milwaukee Bucks,1176
New York Knicks,Brooklyn Nets,9
New York Knicks,New Orleans Pelicans,1878
New York Knicks,Charlotte Hornets,854
Denver Nuggets,Philadelphia 76ers,1349
Denver Nuggets,Detroit Pistons,1855
Denver Nuggets,Chicago Bulls,1473
Denver Nuggets,Minnesota Timberwolves,1122
Denver Nuggets,New York Knicks,2615
Denver Nuggets,Golden State Warriors,1509
Denver Nuggets,Dallas Mavericks,1063
Denver Nuggets,New Jersey Nets,2621
Denver Nuggets,Charlotte Bobcats,2178
Denver Nuggets,Memphis Grizzlies,1412
Denver Nuggets,San Antonio Spurs,1289
Denver Nuggets,New Orleans Hornets,1736
Denver Nuggets,Oklahoma City Thunder,810
Denver Nuggets,Orlando Magic,2489
Denver Nuggets,Washington Wizards,2393
Denver Nuggets,Cleveland Cavaliers,1967
Denver Nuggets,Boston Celtics,2837
Denver Nuggets,Portland Trail Blazers,1577
Denver Nuggets,Los Angeles Lakers,1334
Denver Nuggets,Sacramento Kings,1425
Denver Nuggets,Indiana Pacers,1604
Denver Nuggets,Phoenix Suns,941
Denver Nuggets,Utah Jazz,596
