Posicion,Premios,Season,AWS,WP,Defensivo,Sueldos
1,"Harden,James",2018,"James,LeBron","Harden,James","Gobert,Rudy","Curry,Stephen"
2,"James,LeBron",2018,"Harden,James","James,LeBron","Embiid,Joel","Griffin,Blake"
3,"Davis,Anthony",2018,"Cousins,DeMarcus","Westbrook,Russell","Davis,Anthony","Millsap,Paul"
4,"Lillard,Damian",2018,"Westbrook,Russell","Davis,Anthony","George,Paul","Lowry,Kyle"
5,"Westbrook,Russell",2018,"Curry,Stephen","Durant,Kevin","Horford,Al","Hayward,Gordon"
6,"Antetokounmpo,Giannis",2018,"Davis,Anthony","Lillard,Damian","Green,Draymond","Conley,Mike"
7,"Durant,Kevin",2018,"Antetokounmpo,Giannis","Cousins,DeMarcus","Holiday,Jrue","Westbrook,Russell"
8,"DeRozan,DeMar",2018,"Durant,Kevin","Booker,Devin","Covington,Robert","Harden,James"
9,"Aldridge,LaMarcus",2018,"Jokić,Nikola","Antetokounmpo,Giannis","Durant,Kevin","DeRozan,DeMar"
10,"Butler,Jimmy",2018,"Lillard,Damian","Curry,Stephen","Brown,Jaylen","Horford,Al"
11,"Curry,Stephen",2018,"Simmons,Ben","Porziņģis,Kristaps","Thompson,Klay","Anthony,Carmelo"
12,"Embiid,Joel",2018,"Wall,John","Oladipo,Victor","Adams,Steven","Lillard,Damian"
13,"Oladipo,Victor",2018,"Drummond,Andre","Irving,Kyrie","Butler,Jimmy","Porter,Otto"
1,"Antetokounmpo,Giannis",2019,"Harden,James","Harden,James","Gobert,Rudy","Curry,Stephen"
2,"Harden,James",2019,"Antetokounmpo,Giannis","George,Paul","Antetokounmpo,Giannis","Paul,Chris"
3,"George,Paul",2019,"James,LeBron","James,LeBron","George,Paul","James,LeBron"
4,"Jokić,Nikola",2019,"Westbrook,Russell","Walker,Kemba","Embiid,Joel","Westbrook,Russell"
5,"Curry,Stephen",2019,"Davis,Anthony","Embiid,Joel","Turner,Myles","Griffin,Blake"
6,"Lillard,Damian",2019,"Embiid,Joel","Leonard,Kawhi","Green,Draymond","Hayward,Gordon"
7,"Embiid,Joel",2019,"Jokić,Nikola","Booker,Devin","Leonard,Kawhi","Lowry,Kyle"
8,"Durant,Kevin",2019,"Towns,Karl-Anthony","Curry,Stephen","Smart,Marcus","George,Paul"
9,"Leonard,Kawhi",2019,"Curry,Stephen","Lillard,Damian","Allen,Jarrett","Conley,Mike"
10,"Westbrook,Russell",2019,"Durant,Kevin","Durant,Kevin","Beverley,Patrick","Harden,James"
11,"Gobert,Rudy",2019,"George,Paul","Westbrook,Russell",,"Durant,Kevin"
12,"James,LeBron",2019,"Leonard,Kawhi","Antetokounmpo,Giannis",,"Millsap,Paul"
