homeTeam,VisitorTeam,IDPartido,fecha,localPoints,visitorPoints,Local victory,LOCAL_victorias,LOCAL_derrotas,LOCAL_porcentajeVictorias,LOCAL_posicion,LOCAL_Posicion_conferencia,LOCAL_Posicion_division,LOCAL_Victorias_conferencia,LOCAL_Derrotas_conferencia,LOCAL_Victorias_division,LOCAL_Derrotas_division,LOCAL_Victorias_Local,LOCAL_Derrotas_local,LOCAL_Victorias_visitante,LOCAL_Derrotas_Visitante,LOCAL_Ultimos10Victorias,LOCAL_Ultimos10Derrotas,LOCAL_Racha,VISITANTE_victorias,VISITANTE_derrotas,VISITANTE_porcentajeVictorias,VISITANTE_posicion,VISITANTE_Posicion_conferencia,VISITANTE_Posicion_division,VISITANTE_Victorias_conferencia,VISITANTE_Derrotas_conferencia,VISITANTE_Victorias_division,VISITANTE_Derrotas_division,VISITANTE_Victorias_Local,VISITANTE_Derrotas_local,VISITANTE_Victorias_visitante,VISITANTE_Derrotas_Visitante,VISITANTE_Ultimos10Victorias,VISITANTE_Ultimos10Derrotas,VISITANTE_Racha,Conferencia_LOCAL,Division_LOCAL,Conferencia_VISITANTE,Division_VISITANTE
nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610612748,1610612737,0011700004,20171001,96,90,1,1,0,1.000,2,,,1,0,1,0,1,0,0,0,1,0,1,0,1,.000,33,,,0,1,0,1,0,0,0,1,0,1,1,east,southeast,east,southeast
1610612739,1610612737,0011700018,20171004,93,109,0,0,1,.000,22,12,5,0,1,0,0,0,1,0,0,0,1,1,1,1,.500,14,6,3,1,1,0,1,0,0,1,1,1,1,1,east,central,east,southeast
1610612765,1610612737,0011700031,20171006,109,87,1,1,1,.500,13,7,3,1,1,0,0,1,1,0,0,1,1,1,1,2,.333,22,10,5,1,2,0,1,0,0,1,2,1,2,1,east,central,east,southeast
1610612737,1610612763,0011700050,20171009,100,88,1,2,2,.500,15,8,4,1,2,0,1,1,0,1,2,2,2,1,2,1,.667,11,9,4,0,0,0,0,1,0,1,1,2,1,1,east,southeast,west,southwest
1610612737,1610612742,0011700065,20171012,94,108,0,2,3,.400,20,10,4,1,2,0,1,1,1,1,2,2,3,1,4,1,.800,4,4,2,0,0,0,0,3,0,1,1,4,1,2,east,southeast,west,southwest
1610612742,1610612737,0021700009,20171018,111,117,0,0,1,.000,21,12,5,0,0,0,0,0,1,0,0,0,1,1,1,0,1.000,2,7,3,0,0,0,0,0,0,1,0,1,0,1,west,southwest,east,southeast
1610612766,1610612737,0021700017,20171020,109,91,1,1,1,.500,12,6,2,1,1,1,0,1,0,0,1,1,1,1,1,1,.500,10,9,3,0,1,0,1,0,0,1,1,1,1,1,east,southeast,east,southeast
1610612751,1610612737,0021700038,20171022,116,104,1,2,1,.667,7,4,2,2,1,0,0,2,0,0,1,2,1,2,1,2,.333,18,12,5,0,2,0,1,0,0,1,2,1,2,2,east,atlantic,east,southeast
1610612748,1610612737,0021700042,20171023,104,93,1,2,1,.667,9,7,3,2,1,1,1,2,0,0,1,2,1,2,1,3,.250,24,13,5,0,3,0,2,0,0,1,3,1,3,3,east,southeast,east,southeast
