Team,Name,Season,WP_MEAN
Houston Rockets,"Harden,James",2019,0.3758670268402749
Houston Rockets,"Harden,James",2020,0.3570698291284146
Houston Rockets,"Harden,James",2018,0.321858638833179
Washington Wizards,"Beal,Bradley",2020,0.3202623154206697
Atlanta Hawks,"Young,Trae",2020,0.31921695203911604
Dallas Mavericks,"Dončić,Luka",2020,0.30612177154073517
Cleveland Cavaliers,"James,LeBron",2018,0.2984235667457117
Milwaukee Bucks,"Antetokounmpo,Giannis",2020,0.298196191891427
Portland Trail Blazers,"Lillard,Damian",2020,0.2972510589103066
Houston Rockets,"Westbrook,Russell",2020,0.29655313426369545
Oklahoma City Thunder,"George,Paul",2019,0.29533095718428204
Oklahoma City Thunder,"Westbrook,Russell",2018,0.29226230374243356
Los Angeles Lakers,"James,LeBron",2019,0.2902089031187692
New Orleans Pelicans,"Davis,Anthony",2018,0.2880122960190659
Los Angeles Clippers,"Leonard,Kawhi",2020,0.2848974299538628
Golden State Warriors,"Durant,Kevin",2018,0.2820107050241898
Charlotte Hornets,"Walker,Kemba",2019,0.2799003707251557
Philadelphia 76ers,"Embiid,Joel",2019,0.279555351335497
Portland Trail Blazers,"Lillard,Damian",2018,0.279332239538418
Toronto Raptors,"Leonard,Kawhi",2019,0.2790912047639954
Brooklyn Nets,"Irving,Kyrie",2020,0.27904199142319597
Los Angeles Lakers,"James,LeBron",2020,0.2774939310346288
Phoenix Suns,"Booker,Devin",2019,0.27749140182976606
Chicago Bulls,"LaVine,Zach",2020,0.2760665592566849
Golden State Warriors,"Curry,Stephen",2019,0.2759813241241252
Portland Trail Blazers,"Lillard,Damian",2019,0.2749020108918709
New Orleans Pelicans,"Cousins,DeMarcus",2018,0.27487600286962743
Golden State Warriors,"Durant,Kevin",2019,0.2741559002994726
Oklahoma City Thunder,"Westbrook,Russell",2019,0.2731759563689234
Milwaukee Bucks,"Antetokounmpo,Giannis",2019,0.2721980575654272
Los Angeles Lakers,"Davis,Anthony",2020,0.2707458660522596
Phoenix Suns,"Booker,Devin",2018,0.27024619118372273
Milwaukee Bucks,"Antetokounmpo,Giannis",2018,0.26851482741823984
Phoenix Suns,"Booker,Devin",2020,0.26626961182316883
Washington Wizards,"Beal,Bradley",2019,0.2640837792773664
Utah Jazz,"Mitchell,Donovan",2019,0.26225976406970664
New Orleans Pelicans,"Davis,Anthony",2019,0.26171945811920233
Golden State Warriors,"Curry,Stephen",2018,0.260083917522409
Golden State Warriors,"Russell,D'Angelo",2020,0.2591743347951219
Utah Jazz,"Mitchell,Donovan",2020,0.25790215041103803
Detroit Pistons,"Griffin,Blake",2019,0.25694417288945376
Boston Celtics,"Tatum,Jayson",2020,0.25668559770557425
Toronto Raptors,"Siakam,Pascal",2020,0.2551156718857293
Chicago Bulls,"LaVine,Zach",2019,0.25402595934909933
New Orleans Pelicans,"Ingram,Brandon",2020,0.25304877940880405
New York Knicks,"Porziņģis,Kristaps",2018,0.25284278689680395
Minnesota Timberwolves,"Towns,Karl-Anthony",2020,0.2522667087201672
Indiana Pacers,"Oladipo,Victor",2018,0.25123279356296846
Minnesota Timberwolves,"Russell,D'Angelo",2020,0.25013118924204814
Boston Celtics,"Irving,Kyrie",2018,0.24687455978799927
Toronto Raptors,"DeRozan,DeMar",2018,0.24553776058156365
Boston Celtics,"Irving,Kyrie",2019,0.24451497129023403
Minnesota Timberwolves,"Wiggins,Andrew",2020,0.24403869027598657
Los Angeles Clippers,"Griffin,Blake",2018,0.2439805721695664
Philadelphia 76ers,"Embiid,Joel",2018,0.24395468676978563
Los Angeles Clippers,"Williams,Lou",2018,0.24292345594814427
Washington Wizards,"Beal,Bradley",2018,0.24228965920636486
Washington Wizards,"Wall,John",2018,0.24157661291471771
Portland Trail Blazers,"McCollum,CJ",2020,0.24096831669032578
Brooklyn Nets,"Russell,D'Angelo",2019,0.2395102907877699
Washington Wizards,"Wall,John",2019,0.23949789377980904
Charlotte Hornets,"Walker,Kemba",2018,0.23941113353848892
Dallas Mavericks,"Dončić,Luka",2019,0.23878924444226246
Oklahoma City Thunder,"George,Paul",2018,0.23833384780488032
Philadelphia 76ers,"Embiid,Joel",2020,0.23683675512780605
Portland Trail Blazers,"McCollum,CJ",2018,0.23393676578715894
Minnesota Timberwolves,"Towns,Karl-Anthony",2019,0.2335700060717708
Golden State Warriors,"Curry,Stephen",2020,0.23285514289874656
San Antonio Spurs,"DeRozan,DeMar",2019,0.23156341484375645
Utah Jazz,"Mitchell,Donovan",2018,0.23053284983860017
Boston Celtics,"Walker,Kemba",2020,0.2300834404219073
New Orleans Pelicans,"Holiday,Jrue",2019,0.23005596694310218
Portland Trail Blazers,"McCollum,CJ",2019,0.22813225839288334
Los Angeles Clippers,"George,Paul",2020,0.22711517814923152
Brooklyn Nets,"Dinwiddie,Spencer",2020,0.22529237709335473
Golden State Warriors,"Thompson,Klay",2019,0.22413642747310758
Memphis Grizzlies,"Conley,Mike",2019,0.2234812841189049
San Antonio Spurs,"Aldridge,LaMarcus",2018,0.2227493975952405
San Antonio Spurs,"DeRozan,DeMar",2020,0.22190171372848677
Minnesota Timberwolves,"Butler,Jimmy",2018,0.22157452947425413
Detroit Pistons,"Griffin,Blake",2018,0.2203636554716386
Los Angeles Clippers,"Williams,Lou",2019,0.22007648217119147
Minnesota Timberwolves,"Butler,Jimmy",2019,0.21774363022345405
Sacramento Kings,"Fox,De'Aaron",2020,0.21755936637089854
Atlanta Hawks,"Schröder,Dennis",2018,0.21725173407353446
Atlanta Hawks,"Young,Trae",2019,0.21654569939418497
Cleveland Cavaliers,"Sexton,Collin",2020,0.21513312884652788
Milwaukee Bucks,"Middleton,Khris",2018,0.209986134456669
Memphis Grizzlies,"Evans,Tyreke",2018,0.20842520738880385
Dallas Mavericks,"Barnes,Harrison",2018,0.20566589253999884
