Team,Name,Season,AWS_temp
Atlanta Hawks,"Adams,Jaylen",2019,91.00000000000001
Atlanta Hawks,"Anderson,Justin",2019,107.55
Atlanta Hawks,"Babbitt,Luke",2018,114.94999999999999
Atlanta Hawks,"Bazemore,Kent",2018,587.6500000000002
Atlanta Hawks,"Bazemore,Kent",2019,446.69999999999993
Atlanta Hawks,"Belinelli,Marco",2018,306.59999999999997
Atlanta Hawks,"Bembry,DeAndre'",2018,120.39999999999999
Atlanta Hawks,"Bembry,DeAndre'",2019,515.1500000000001
Atlanta Hawks,"Bembry,DeAndre'",2020,219.70000000000007
Atlanta Hawks,"Brown,Charlie",2020,9.9
Atlanta Hawks,"Brussino,Nicolás",2018,-0.49999999999999994
Atlanta Hawks,"Carter,Vince",2019,294.45
Atlanta Hawks,"Carter,Vince",2020,131.09999999999997
Atlanta Hawks,"Cavanaugh,Tyler",2018,109.9
Atlanta Hawks,"Cleveland,Antonius",2018,8.0
Atlanta Hawks,"Collins,John",2018,582.4499999999999
Atlanta Hawks,"Collins,John",2019,731.85
Atlanta Hawks,"Collins,John",2020,556.3000000000001
Atlanta Hawks,"Crabbe,Allen",2020,70.25000000000001
Atlanta Hawks,"Davis,Deyonta",2019,31.499999999999996
Atlanta Hawks,"Dedmon,Dewayne",2018,470.15000000000015
Atlanta Hawks,"Dedmon,Dewayne",2019,506.2500000000002
Atlanta Hawks,"Dedmon,Dewayne",2020,49.65
Atlanta Hawks,"Delaney,Malcolm",2018,240.59999999999994
Atlanta Hawks,"Dorsey,Tyler",2018,176.10000000000002
Atlanta Hawks,"Dorsey,Tyler",2019,38.3
Atlanta Hawks,"Evans,Jeremy",2018,2.2
Atlanta Hawks,"Fernando,Bruno",2020,172.90000000000003
Atlanta Hawks,"Goodwin,Brandon",2020,108.50000000000001
Atlanta Hawks,"Graham,Treveon",2020,41.699999999999996
Atlanta Hawks,"Hamilton,Daniel",2019,46.45
Atlanta Hawks,"Huerter,Kevin",2019,472.35
Atlanta Hawks,"Huerter,Kevin",2020,421.9499999999999
Atlanta Hawks,"Humphries,Isaac",2019,0.9000000000000012
Atlanta Hawks,"Hunter,De'Andre",2020,373.4
Atlanta Hawks,"Johnson,B.J.",2019,11.5
Atlanta Hawks,"Jones,Damian",2020,212.60000000000002
Atlanta Hawks,"Lee,Damion",2018,83.75000000000001
Atlanta Hawks,"Len,Alex",2019,500.2000000000001
Atlanta Hawks,"Len,Alex",2020,234.99999999999994
Atlanta Hawks,"Lin,Jeremy",2019,365.8
Atlanta Hawks,"Magette,Josh",2018,49.300000000000004
Atlanta Hawks,"Morris,Jaylen",2018,18.300000000000004
Atlanta Hawks,"Muscala,Mike",2018,276.85
Atlanta Hawks,"Parker,Jabari",2020,283.25000000000006
Atlanta Hawks,"Parsons,Chandler",2020,9.9
Atlanta Hawks,"Plumlee,Miles",2018,231.35000000000005
Atlanta Hawks,"Plumlee,Miles",2019,60.5
Atlanta Hawks,"Poythress,Alex",2019,66.65
Atlanta Hawks,"Reddish,Cam",2020,327.35
Atlanta Hawks,"Schröder,Dennis",2018,695.3
Atlanta Hawks,"Sibert,Jordan",2019,1.9999999999999998
Atlanta Hawks,"Spellman,Omari",2019,197.75000000000003
Atlanta Hawks,"Taylor,Isaiah",2018,263.40000000000003
Atlanta Hawks,"Teague,Jeff",2020,146.5
Atlanta Hawks,"Turner,Evan",2020,63.5
Atlanta Hawks,"Wallace,Tyrone",2020,18.700000000000003
Atlanta Hawks,"Waller-Prince,Taurean",2018,721.9000000000001
Atlanta Hawks,"Waller-Prince,Taurean",2019,412.2500000000001
Atlanta Hawks,"Watson,Paul",2020,-2.299999999999999
Atlanta Hawks,"White,Andrew",2018,29.150000000000002
Atlanta Hawks,"Young,Trae",2019,1075.8500000000001
Atlanta Hawks,"Young,Trae",2020,1147.3999999999999
Atlanta Hawks,"Zeller,Tyler",2019,-0.30000000000000004
Atlanta Hawks,"İlyasova,Ersan",2018,302.7
Boston Celtics,"Allen,Kadeem",2018,13.200000000000001
Boston Celtics,"Baynes,Aron",2018,415.70000000000016
Boston Celtics,"Baynes,Aron",2019,225.70000000000002
Boston Celtics,"Bird,Jabari",2018,31.1
Boston Celtics,"Brown,Jaylen",2018,679.4500000000002
Boston Celtics,"Brown,Jaylen",2019,536.4000000000001
Boston Celtics,"Brown,Jaylen",2020,544.75
Boston Celtics,"Dozier,PJ",2019,12.05
Boston Celtics,"Eddie,Jarell",2018,-0.39999999999999997
Boston Celtics,"Edwards,Carsen",2020,45.6
Boston Celtics,"Fall,Tacko",2020,11.2
Boston Celtics,"Gibson,Jonathan",2018,17.1
Boston Celtics,"Green,Javonte",2020,91.54999999999998
Boston Celtics,"Hayward,Gordon",2018,0.10000000000000009
Boston Celtics,"Hayward,Gordon",2019,624.6499999999999
Boston Celtics,"Hayward,Gordon",2020,490.8500000000001
Boston Celtics,"Horford,Al",2018,969.3500000000004
Boston Celtics,"Horford,Al",2019,816.8999999999997
Boston Celtics,"Hunter,R.J.",2019,7.550000000000002
Boston Celtics,"Irving,Kyrie",2018,805.5500000000001
Boston Celtics,"Irving,Kyrie",2019,1098.75
Boston Celtics,"Kanter,Enes",2020,353.5000000000001
Boston Celtics,"Langford,Romeo",2020,30.950000000000003
Boston Celtics,"Larkin,Shane",2018,177.15000000000003
Boston Celtics,"Monroe,Greg",2018,263.05
Boston Celtics,"Monroe,Greg",2019,4.199999999999999
Boston Celtics,"Morris,Marcus",2018,427.35
Boston Celtics,"Morris,Marcus",2019,611.7500000000001
Boston Celtics,"Nader,Abdel",2018,83.65000000000002
