Team,Name,Season,WP_adj_season
Atlanta Hawks,"Adams,Jaylen",2019,-1.3169794960351509
Atlanta Hawks,"Anderson,Justin",2019,-1.7607823487791479
Atlanta Hawks,"Babbitt,Luke",2018,-0.27106357661651126
Atlanta Hawks,"Bazemore,Kent",2018,5.191171896840237
Atlanta Hawks,"Bazemore,Kent",2019,4.0550128105256595
Atlanta Hawks,"Belinelli,Marco",2018,2.668251230661809
Atlanta Hawks,"Bembry,DeAndre'",2018,-0.10144002766345069
Atlanta Hawks,"Bembry,DeAndre'",2019,1.5372326498632198
Atlanta Hawks,"Bembry,DeAndre'",2020,0.18509359713376888
Atlanta Hawks,"Brown,Charlie",2020,-0.3932263236910473
Atlanta Hawks,"Brussino,Nicolás",2018,-0.11004170454652044
Atlanta Hawks,"Carter,Vince",2019,-0.025622414748677325
Atlanta Hawks,"Carter,Vince",2020,-0.51179350923099
Atlanta Hawks,"Cavanaugh,Tyler",2018,-1.264300668856455
Atlanta Hawks,"Cleveland,Antonius",2018,-0.10399881664137359
Atlanta Hawks,"Collins,John",2018,2.0520644806860373
Atlanta Hawks,"Collins,John",2019,5.213540880754376
Atlanta Hawks,"Collins,John",2020,5.089560539311221
Atlanta Hawks,"Crabbe,Allen",2020,-0.2499515586783117
Atlanta Hawks,"Davis,Deyonta",2019,-0.6066215807927468
Atlanta Hawks,"Dedmon,Dewayne",2018,2.4278419736725425
Atlanta Hawks,"Dedmon,Dewayne",2019,2.197449940729299
Atlanta Hawks,"Dedmon,Dewayne",2020,0.055697009424229935
Atlanta Hawks,"Delaney,Malcolm",2018,0.1976159185994364
Atlanta Hawks,"Dorsey,Tyler",2018,1.6334753298097877
Atlanta Hawks,"Dorsey,Tyler",2019,-0.8035859825225437
Atlanta Hawks,"Evans,Jeremy",2018,-0.04607395813222791
Atlanta Hawks,"Fernando,Bruno",2020,-1.7405199478369004
Atlanta Hawks,"Goodwin,Brandon",2020,0.037044656356192446
Atlanta Hawks,"Graham,Treveon",2020,-1.083143732418078
Atlanta Hawks,"Hamilton,Daniel",2019,-0.7936809545629188
Atlanta Hawks,"Huerter,Kevin",2019,2.0926187852555405
Atlanta Hawks,"Huerter,Kevin",2020,3.7415271058800794
Atlanta Hawks,"Humphries,Isaac",2019,-0.3968773542974241
Atlanta Hawks,"Hunter,De'Andre",2020,4.048250829133473
Atlanta Hawks,"Johnson,B.J.",2019,-0.24915876558762992
Atlanta Hawks,"Jones,Damian",2020,-1.4121596223972983
Atlanta Hawks,"Lee,Damion",2018,1.0366576759645538
Atlanta Hawks,"Len,Alex",2019,2.0698584951228005
Atlanta Hawks,"Len,Alex",2020,0.4622799914936844
Atlanta Hawks,"Lin,Jeremy",2019,1.9410177040958492
Atlanta Hawks,"Magette,Josh",2018,-0.45546908696166827
Atlanta Hawks,"Morris,Jaylen",2018,0.1446573989612556
Atlanta Hawks,"Muscala,Mike",2018,0.9931834396027114
Atlanta Hawks,"Parker,Jabari",2020,2.489731844767247
Atlanta Hawks,"Parsons,Chandler",2020,-0.15094840274291754
Atlanta Hawks,"Plumlee,Miles",2018,-1.3956215839607242
Atlanta Hawks,"Plumlee,Miles",2019,-0.6096993914557584
Atlanta Hawks,"Poythress,Alex",2019,-0.5014944000138072
Atlanta Hawks,"Reddish,Cam",2020,3.02710857350277
Atlanta Hawks,"Schröder,Dennis",2018,9.996337786744085
Atlanta Hawks,"Sibert,Jordan",2019,-0.09055457978521138
Atlanta Hawks,"Spellman,Omari",2019,-0.296785877404632
Atlanta Hawks,"Taylor,Isaiah",2018,0.8744314191994764
Atlanta Hawks,"Teague,Jeff",2020,0.11237637080354812
Atlanta Hawks,"Turner,Evan",2020,-0.41040187346385115
Atlanta Hawks,"Wallace,Tyrone",2020,-0.392647255919281
Atlanta Hawks,"Waller-Prince,Taurean",2018,7.746066255418188
Atlanta Hawks,"Waller-Prince,Taurean",2019,3.7463231433958275
Atlanta Hawks,"Watson,Paul",2020,-0.11194474988737263
Atlanta Hawks,"White,Andrew",2018,0.0002150698932668338
Atlanta Hawks,"Young,Trae",2019,11.362540001970812
Atlanta Hawks,"Young,Trae",2020,14.936395300369433
Atlanta Hawks,"Zeller,Tyler",2019,-0.23341079339949378
Atlanta Hawks,"İlyasova,Ersan",2018,1.4695637676406077
Boston Celtics,"Allen,Kadeem",2018,-0.46439978297693346
Boston Celtics,"Baynes,Aron",2018,-0.5176755501117858
Boston Celtics,"Baynes,Aron",2019,-1.2024262849681975
Boston Celtics,"Bird,Jabari",2018,-0.206613821570583
Boston Celtics,"Brown,Jaylen",2018,8.404489848675961
Boston Celtics,"Brown,Jaylen",2019,5.762796955017078
Boston Celtics,"Brown,Jaylen",2020,6.692532920802124
Boston Celtics,"Dozier,PJ",2019,-0.25313633526448165
Boston Celtics,"Eddie,Jarell",2018,-0.03928042657237749
Boston Celtics,"Edwards,Carsen",2020,-0.7444741128728405
Boston Celtics,"Fall,Tacko",2020,-0.07958670732048652
Boston Celtics,"Gibson,Jonathan",2018,-0.04251792075559056
Boston Celtics,"Green,Javonte",2020,-0.7972268012706629
Boston Celtics,"Hayward,Gordon",2018,-0.05827637258934653
Boston Celtics,"Hayward,Gordon",2019,4.716466867383708
Boston Celtics,"Hayward,Gordon",2020,4.9304935753356025
Boston Celtics,"Horford,Al",2018,7.410862439456126
Boston Celtics,"Horford,Al",2019,5.6841801587255345
Boston Celtics,"Hunter,R.J.",2019,0.007098773678627546
Boston Celtics,"Irving,Kyrie",2018,11.384143496780249
Boston Celtics,"Irving,Kyrie",2019,13.571837088474513
Boston Celtics,"Kanter,Enes",2020,-0.22972641420490902
Boston Celtics,"Langford,Romeo",2020,-0.8901592164188177
Boston Celtics,"Larkin,Shane",2018,-0.44773180028041915
Boston Celtics,"Monroe,Greg",2018,0.4137549667151852
Boston Celtics,"Monroe,Greg",2019,-0.13047097938688793
Boston Celtics,"Morris,Marcus",2018,6.009694835307021
Boston Celtics,"Morris,Marcus",2019,6.351932541801482
Boston Celtics,"Nader,Abdel",2018,-0.8917004816415011
Boston Celtics,"Ojeleye,Semi",2018,-2.2069501030015606
Boston Celtics,"Ojeleye,Semi",2019,-1.13315120232595
Boston Celtics,"Ojeleye,Semi",2020,-1.6791477005310094
Boston Celtics,"Poirier,Vincent",2020,-0.8114426865442055
Boston Celtics,"Rozier,Terry",2018,7.703321304735544
Boston Celtics,"Rozier,Terry",2019,3.354893455260937
Boston Celtics,"Silas,Xavier",2018,-0.12864341379374455
Boston Celtics,"Smart,Marcus",2018,4.679354832449254
Boston Celtics,"Smart,Marcus",2019,1.762320034090281
Boston Celtics,"Smart,Marcus",2020,4.189711819037613
Boston Celtics,"Tatum,Jayson",2018,9.403505092319161
Boston Celtics,"Tatum,Jayson",2019,9.517847774955175
Boston Celtics,"Tatum,Jayson",2020,11.142595565933469
Boston Celtics,"Theis,Daniel",2018,-0.6831233851615534
Boston Celtics,"Theis,Daniel",2019,-1.56043529935561
Boston Celtics,"Theis,Daniel",2020,0.36665088072823154
Boston Celtics,"Walker,Kemba",2020,8.111623509482344
Boston Celtics,"Wanamaker,Brad",2019,-0.5948479252125054
Boston Celtics,"Wanamaker,Brad",2020,0.05604843511679697
Boston Celtics,"Waters,Tremont",2020,-0.20132982166792468
Boston Celtics,"Williams,Grant",2020,-2.0392130657589673
Boston Celtics,"Williams,Robert",2019,-1.0061951386797596
Boston Celtics,"Williams,Robert",2020,-0.7804352729704542
Boston Celtics,"Yabusele,Guerschon",2018,-1.302072048182212
Boston Celtics,"Yabusele,Guerschon",2019,-1.5166002471393594
Brooklyn Nets,"Acy,Quincy",2018,0.19068306826048648
Brooklyn Nets,"Allen,Jarrett",2018,0.37383663218906926
Brooklyn Nets,"Allen,Jarrett",2019,1.4967387977244715
Brooklyn Nets,"Allen,Jarrett",2020,1.244326602118901
Brooklyn Nets,"Anderson,Justin",2020,-0.11510882295961919
Brooklyn Nets,"Booker,Trevor",2018,0.29589710740143527
Brooklyn Nets,"Carroll,DeMarre",2018,5.329201531580375
Brooklyn Nets,"Carroll,DeMarre",2019,2.229435959084017
Brooklyn Nets,"Chandler,Wilson",2020,0.10879228642486491
Brooklyn Nets,"Chiozza,Chris",2020,-0.23184442370187036
Brooklyn Nets,"Claxton,Nicolas",2020,-0.39967806194840416
Brooklyn Nets,"Crabbe,Allen",2018,5.795643853107452
Brooklyn Nets,"Crabbe,Allen",2019,1.0563784591858774
Brooklyn Nets,"Creek,Mitch",2019,-0.22576553575828714
Brooklyn Nets,"Cunningham,Dante",2018,0.10633693955682486
Brooklyn Nets,"Davis,Ed",2019,-3.674825828513205
Brooklyn Nets,"Dinwiddie,Spencer",2018,5.977735466886684
Brooklyn Nets,"Dinwiddie,Spencer",2019,6.378532205081029
Brooklyn Nets,"Dinwiddie,Spencer",2020,10.072123035369962
Brooklyn Nets,"Doyle,Milton",2018,0.0051605269054786004
Brooklyn Nets,"Dudley,Jared",2019,-2.175206556891079
Brooklyn Nets,"Ellenson,Henry",2020,-0.2010279798059895
Brooklyn Nets,"Faried,Kenneth",2019,-0.49109502276969413
Brooklyn Nets,"Graham,Treveon",2019,-0.9200176572829372
Brooklyn Nets,"Harris,Joe",2018,2.995571826158871
