Posicion,Premios,puntos_MVP,primero,AWS,AWS_temp,WP,Season,WP_season,WP_adj,WP_adj_season,Defensivo,Sueldos
1,"Harden,James",965.0,86.0,"James,LeBron",2190.350000000001,"James,LeBron",2018,31.036050941554013,"James,LeBron",23.60339945009481,"Gobert,Rudy","Curry,Stephen"
2,"James,LeBron",738.0,15.0,"Harden,James",1743.6000000000006,"Harden,James",2018,28.64541885615293,"Harden,James",23.157387791745318,"Embiid,Joel","Griffin,Blake"
3,"Davis,Anthony",445.0,0.0,"Westbrook,Russell",1612.4999999999993,"Westbrook,Russell",2018,25.134558121849288,"Durant,Kevin",21.76744048376961,"Davis,Anthony","Millsap,Paul"
4,"Lillard,Damian",207.0,0.0,"Durant,Kevin",1462.7,"Durant,Kevin",2018,25.09895274715289,"Davis,Anthony",19.829827502264816,"George,Paul","Lowry,Kyle"
5,"Westbrook,Russell",76.0,0.0,"Davis,Anthony",1430.4,"Davis,Anthony",2018,24.193032865601534,"Westbrook,Russell",17.629668538027914,"Horford,Al","Hayward,Gordon"
6,"Antetokounmpo,Giannis",75.0,0.0,"Antetokounmpo,Giannis",1361.85,"DeRozan,DeMar",2018,22.098398452340728,"Antetokounmpo,Giannis",17.51591708499419,"Green,Draymond","Conley,Mike"
7,"Durant,Kevin",66.0,0.0,"Simmons,Ben",1354.75,"Antetokounmpo,Giannis",2018,22.018215848295668,"Lillard,Damian",16.649684086947993,"Holiday,Jrue","Westbrook,Russell"
8,"DeRozan,DeMar",32.0,0.0,"Towns,Karl-Anthony",1230.8499999999995,"Lillard,Damian",2018,21.508582444458188,"DeRozan,DeMar",16.602602506838384,"Covington,Robert","Harden,James"
9,"Aldridge,LaMarcus",6.0,0.0,"Oladipo,Victor",1176.9499999999996,"Beal,Bradley",2018,21.32149001016011,"Mitchell,Donovan",16.204426085697115,"Durant,Kevin","DeRozan,DeMar"
10,"Butler,Jimmy",5.0,0.0,"Lillard,Damian",1165.45,"Mitchell,Donovan",2018,20.747956485474017,"Thompson,Klay",15.913737766051659,"Brown,Jaylen","Horford,Al"
11,"Curry,Stephen",5.0,0.0,"Green,Draymond",1163.8500000000004,"Oladipo,Victor",2018,20.601089072163415,"Beal,Bradley",15.138363651483019,"Thompson,Klay","Anthony,Carmelo"
12,"Embiid,Joel",4.0,0.0,"Jokić,Nikola",1149.75,"George,Paul",2018,20.25837706341483,"Curry,Stephen",14.839738668698981,"Adams,Steven","Lillard,Damian"
13,"Oladipo,Victor",2.0,0.0,"Drummond,Andre",1145.0999999999995,"McCollum,CJ",2018,19.88462509190851,"Oladipo,Victor",14.471759726901196,"Butler,Jimmy","Porter,Otto"
14,,,,"Holiday,Jrue",1141.0,"Thompson,Klay",2018,19.316694295770738,"McCollum,CJ",14.394794028040293,,"Holiday,Jrue"
15,,,,"Curry,Stephen",1125.9,"Williams,Lou",2018,19.190953019903397,"Holiday,Jrue",13.936063270459945,,"Beal,Bradley"
16,,,,"Lowry,Kyle",1111.1000000000004,"Walker,Kemba",2018,19.152890683079114,"Middleton,Khris",13.654348830029782,,"Drummond,Andre"
17,,,,"George,Paul",1076.9999999999998,"Middleton,Khris",2018,18.688765966643537,"Williams,Lou",13.515553711807547,,"Whiteside,Hassan"
18,,,,"Beal,Bradley",1074.6,"Holiday,Jrue",2018,18.508665973305785,"Embiid,Joel",13.375857926767525,,"Embiid,Joel"
19,,,,"Embiid,Joel",1031.8,"Aldridge,LaMarcus",2018,17.819951807619237,"George,Paul",12.870386909909275,,"Paul,Chris"
20,,,,"DeRozan,DeMar",1003.5,"Embiid,Joel",2018,17.32078276065478,"Walker,Kemba",12.825422558724325,,"Antetokounmpo,Giannis"
21,,,,"Capela,Clint",1003.0,"Curry,Stephen",2018,17.165538556478992,"Aldridge,LaMarcus",12.237264699996226,,"Love,Kevin"
22,,,,"Middleton,Khris",1002.65,"Wiggins,Andrew",2018,17.042675753193816,"Irving,Kyrie",11.384143496780247,,"Batum,Nicolas"
23,,,,"Williams,Lou",994.2500000000003,"Towns,Karl-Anthony",2018,16.864520566009926,"Booker,Devin",10.862494412487953,,"McCollum,CJ"
24,,,,"Paul,Chris",989.0500000000003,"Gordon,Eric",2018,16.2246037091206,"Barnes,Harrison",10.749788184064391,,"Howard,Dwight"
25,,,,"Walker,Kemba",980.25,"Barnes,Harrison",2018,15.836273725579913,"Cousins,DeMarcus",10.735429829826666,,"Davis,Anthony"
26,,,,"Horford,Al",969.3500000000003,"Tatum,Jayson",2018,15.396497024056654,"Gordon,Eric",10.60998813770201,,"Barnes,Harrison"
27,,,,"Mitchell,Donovan",964.4,"Simmons,Ben",2018,15.396097602533288,"Gasol,Marc",10.572004608718627,,"Parsons,Chandler"
28,,,,"Howard,Dwight",958.8,"Anthony,Carmelo",2018,15.262600176470716,"Dragić,Goran",10.423723126400484,,"Lopez,Brook"
