Posicion,Premios,puntos_MVP,primero,AWS,AWS_MEAN,WP,Season,WP_MEAN,Defensivo,Sueldos
1,"Harden,James",965.0,86.0,"James,LeBron",21.0610576923077,"Harden,James",2018,0.32185863883317894,"Gobert,Rudy","Curry,Stephen"
2,"James,LeBron",738.0,15.0,"Harden,James",19.591011235955058,"James,LeBron",2018,0.2984235667457117,"Embiid,Joel","Griffin,Blake"
3,"Davis,Anthony",445.0,0.0,"Cousins,DeMarcus",19.260416666666668,"Westbrook,Russell",2018,0.2922623037424336,"Davis,Anthony","Millsap,Paul"
4,"Lillard,Damian",207.0,0.0,"Westbrook,Russell",18.75,"Davis,Anthony",2018,0.2880122960190659,"George,Paul","Lowry,Kyle"
5,"Westbrook,Russell",76.0,0.0,"Curry,Stephen",17.059090909090912,"Durant,Kevin",2018,0.2820107050241898,"Horford,Al","Hayward,Gordon"
6,"Antetokounmpo,Giannis",75.0,0.0,"Davis,Anthony",17.02857142857143,"Lillard,Damian",2018,0.279332239538418,"Green,Draymond","Conley,Mike"
7,"Durant,Kevin",66.0,0.0,"Antetokounmpo,Giannis",16.607926829268294,"Cousins,DeMarcus",2018,0.27487600286962743,"Holiday,Jrue","Westbrook,Russell"
8,"DeRozan,DeMar",32.0,0.0,"Durant,Kevin",16.434831460674154,"Booker,Devin",2018,0.27024619118372273,"Covington,Robert","Harden,James"
9,"Aldridge,LaMarcus",6.0,0.0,"Jokić,Nikola",15.33,"Antetokounmpo,Giannis",2018,0.26851482741823984,"Durant,Kevin","DeRozan,DeMar"
10,"Butler,Jimmy",5.0,0.0,"Lillard,Damian",15.135714285714286,"Curry,Stephen",2018,0.260083917522409,"Brown,Jaylen","Horford,Al"
11,"Curry,Stephen",5.0,0.0,"Simmons,Ben",14.887362637362635,"Porziņģis,Kristaps",2018,0.25284278689680395,"Thompson,Klay","Anthony,Carmelo"
12,"Embiid,Joel",4.0,0.0,"Wall,John",14.767021276595747,"Oladipo,Victor",2018,0.2512327935629685,"Adams,Steven","Lillard,Damian"
13,"Oladipo,Victor",2.0,0.0,"Drummond,Andre",14.680769230769226,"Irving,Kyrie",2018,0.2468745597879993,"Butler,Jimmy","Porter,Otto"
14,,,,"Embiid,Joel",14.532394366197186,"DeRozan,DeMar",2018,0.24553776058156365,,"Holiday,Jrue"
15,,,,"Oladipo,Victor",14.353048780487795,"Embiid,Joel",2018,0.24395468676978566,,"Beal,Bradley"
16,,,,"Towns,Karl-Anthony",14.147701149425284,"Williams,Lou",2018,0.2429234559481443,,"Drummond,Andre"
17,,,,"Paul,Chris",13.548630136986306,"Beal,Bradley",2018,0.2422896592063649,,"Whiteside,Hassan"
18,,,,"Irving,Kyrie",13.425833333333335,"Wall,John",2018,0.2415766129147177,,"Embiid,Joel"
19,,,,"Butler,Jimmy",13.09296875,"Walker,Kemba",2018,0.2394111335384889,,"Paul,Chris"
20,,,,"Brooks,MarShon",12.964285714285715,"George,Paul",2018,0.2383338478048803,,"Antetokounmpo,Giannis"
21,,,,"Green,Draymond",12.789560439560445,"McCollum,CJ",2018,0.2339367657871589,,"Love,Kevin"
22,,,,"Booker,Devin",12.72777777777778,"Griffin,Blake",2018,0.2338008666963217,,"Batum,Nicolas"
23,,,,"Holiday,Jrue",12.677777777777774,"Mitchell,Donovan",2018,0.23053284983860015,,"McCollum,CJ"
24,,,,"George,Paul",12.670588235294115,"Aldridge,LaMarcus",2018,0.2227493975952405,,"Howard,Dwight"
25,,,,"Lowry,Kyle",12.626136363636368,"Butler,Jimmy",2018,0.22157452947425413,,"Davis,Anthony"
26,,,,"Williams,Lou",12.585443037974686,"Schröder,Dennis",2018,0.21725173407353449,,"Barnes,Harrison"
